Experimental;Computed
0.96;0.881314286164
1.4;0.899598564112
1.01;0.871058617614
1.1;1.73735532831
1.1;0.630396470101
1.1;0.876365365762
0.86;0.884740137769
1.1;0.636516735934
1.2;1.63043346653
0.947;1.40361787431
0.82;0.889158929845
0.81;0.880276765238
0.86;0.882762195784
1.6;2.13445129205
0.786;0.87183484583
0.813;0.87828034257
0.86;0.88253839071
1.5;1.35901910954
0.791;0.851137735781
1.1;0.876380290376
1.1;0.876382257472
1.1;1.00661090766
1.3;0.949523548148
1.1;0.876345913998
0.86;0.885597418267
1.1;0.876316905448
0.86;0.887576734949
1.6;1.75207698565
0.854;0.88885167105
1.1;0.876349829871
0.797;0.880721509267
1.01;0.876292615291
1.2;0.870881496635
0.99;0.878746351548
1.8;1.38357736378
2.2;1.32727178676
1.3;1.59057627041
0.947;0.874000909158
1.1;1.12054040827
1.7;1.78478503717
